co2,trade_co2,oil_co2,gas_co2,flaring_co2,coal_co2,cement_co2,consumption_co2,other_industry_co2,gdp
5272.851,-67.708,2181.652,1109.23,44.013,1879.596,34.838,5205.142,23.523,9814940844032.0
5364.279,-54.027,2227.062,1137.428,44.409,1894.402,36.31,5310.252,24.668,10211205054464.0
5425.259,-54.341,2217.904,1186.511,42.757,1913.401,37.075,5370.919,27.612,10488856444928.0
5612.983,-73.795,2305.301,1206.587,41.299,1993.564,37.309,5539.188,28.923,10886951469056.0
5688.142,-43.381,2326.338,1214.128,41.419,2038.751,38.561,5644.761,28.946,11375561670656.0
5733.281,74.28,2370.915,1191.097,39.022,2062.838,39.461,5807.561,29.949,11881793191936.0
5803.918,185.565,2433.46,1197.931,38.8,2063.366,40.239,5989.483,30.122,12438444441600.0
6010.136,242.408,2487.84,1251.388,38.915,2163.591,41.445,6252.543,26.957,12947416940544.0
5907.74,269.289,2502.249,1198.855,38.696,2099.728,41.613,6177.029,26.599,13073809145856.0
5946.308,348.368,2495.708,1237.821,38.893,2103.809,43.164,6294.676,26.914,13307342749696.0
6010.146,478.195,2557.332,1201.066,38.567,2144.086,43.349,6488.34,25.747,13680911581184.0
6112.655,503.632,2630.811,1204.871,39.12,2164.412,45.886,6616.287,27.555,14198910222336.0
6132.183,589.999,2642.556,1186.902,39.43,2188.337,46.194,6722.182,28.765,14673826021376.0
6052.686,654.142,2609.566,1173.252,40.037,2152.56,46.851,6706.828,30.42,15065164021760.0
6130.123,507.21,2592.442,1247.321,40.463,2175.033,45.509,6637.333,29.355,15333184241664.0
5915.119,397.935,2414.717,1252.606,42.054,2135.89,41.416,6313.053,28.436,15288553701376.0
5480.726,295.82,2280.318,1231.696,41.082,1872.386,29.615,5776.546,25.629,14864003104768.0
5679.715,282.186,2300.574,1290.495,43.407,1982.954,31.449,5961.901,30.836,15239587299328.0
5546.116,269.349,2252.414,1310.707,47.863,1873.284,32.208,5815.465,29.64,15477885632512.0
5344.086,305.104,2196.025,1372.072,51.515,1658.491,35.27,5649.19,30.712,15830887694336.0
5480.157,257.648,2224.627,1410.482,57.423,1720.408,36.369,5737.805,30.847,16122472562688.0
5528.681,306.178,2247.931,1435.209,63.124,1710.594,39.439,5834.858,32.385,16491318607872.0
5376.473,411.448,2285.676,1476.136,64.372,1479.145,39.907,5787.921,31.237,16937634496512.0
5252.932,407.103,2299.961,1481.873,55.139,1347.943,39.439,5660.035,28.577,17220065296384.0
5212.162,420.275,2315.177,1460.656,59.486,1308.716,40.324,5632.437,27.804,17606123716608.0
5377.797,426.265,2366.168,1619.275,72.066,1256.631,38.971,5804.062,24.686,18124692783104.0
5262.145,436.63,2360.999,1675.471,88.437,1071.666,40.896,5698.775,24.677,18540551733248.0
4714.628,472.234,2047.544,1656.255,67.749,877.92,40.688,5186.863,24.472,18027359764480.0
5032.213,537.591,2238.883,1659.128,63.294,1004.759,41.312,5569.804,24.837,19099377729536.0
5078.871,563.985,2258.467,1748.499,63.294,942.357,41.418,5642.856,24.837,19493170446336.0
4911.391,,2250.856,1755.923,63.294,776.767,39.714,,24.837,
